2,1073741823,16,228.721,13,8192
2,1073741823,16,230.148,15,32768
2,1073741823,16,229.718,14,16384
3,1073741823,16,241.617,11,2048
3,1073741823,16,242.821,14,16384
3,1073741823,16,241.814,15,32768
4,1073741823,16,253.028,12,4096
4,1073741823,16,253.497,11,2048
4,1073741823,16,252.977,14,16384
5,1073741823,16,275.699,10,1024
5,1073741823,16,278.309,14,16384
5,1073741823,16,275.398,15,32768
2,134217727,16,27.4401,9,512
2,134217727,16,27.3983,15,32768
2,134217727,16,27.4177,10,1024
3,134217727,16,28.1369,10,1024
3,134217727,16,28.04,11,2048
3,134217727,16,27.9233,8,256
4,134217727,16,29.2655,11,2048
4,134217727,16,29.4397,15,32768
4,134217727,16,29.2145,13,8192
5,134217727,16,32.5084,8,256
5,134217727,16,32.5654,15,32768
5,134217727,16,32.4514,13,8192
2,268435455,16,53.2884,14,16384
2,268435455,16,53.2729,9,512
2,268435455,16,53.4428,15,32768
3,268435455,16,57.5612,8,256
3,268435455,16,57.2533,13,8192
3,268435455,16,57.581,14,16384
4,268435455,16,60.9729,8,256
4,268435455,16,60.1019,9,512
4,268435455,16,59.9609,11,2048
5,268435455,16,66.676,10,1024
5,268435455,16,65.5828,11,2048
5,268435455,16,66.2975,15,32768
2,536870911,16,109.516,11,2048
2,536870911,16,109.922,13,8192
2,536870911,16,109.202,14,16384
3,536870911,16,117.79,13,8192
3,536870911,16,118.107,11,2048
3,536870911,16,138.438,15,32768
4,536870911,16,124.3,10,1024
4,536870911,16,123.482,12,4096
4,536870911,16,124.374,15,32768
5,536870911,16,134.758,15,32768
5,536870911,16,135.027,14,16384
5,536870911,16,134.859,10,1024
2,1073741823,2,952.994,4,16
2,1073741823,2,952.704,5,32
2,1073741823,2,951.6,6,64
3,1073741823,2,989.369,1,2
3,1073741823,2,1005.61,2,4
3,1073741823,2,1006.98,5,32
4,1073741823,2,982.513,5,32
4,1073741823,2,981.674,8,256
4,1073741823,2,1001.59,1,2
5,1073741823,2,1080.12,3,8
5,1073741823,2,1109.32,2,4
5,1073741823,2,1109.07,1,2
2,134217727,2,105.22,6,64
2,134217727,2,105.271,7,128
2,134217727,2,107.701,1,2
3,134217727,2,105.232,6,64
3,134217727,2,105.257,13,8192
3,134217727,2,105.317,2,4
4,134217727,2,108.875,11,2048
4,134217727,2,108.722,3,8
4,134217727,2,108.819,6,64
5,134217727,2,119.168,1,2
5,134217727,2,119.126,0,1
5,134217727,2,119.219,6,64
2,268435455,2,212.883,5,32
2,268435455,2,212.609,8,256
2,268435455,2,212.649,11,2048
3,268435455,2,220.116,7,128
3,268435455,2,220.16,6,64
3,268435455,2,220.104,1,2
4,268435455,2,227.263,6,64
4,268435455,2,227.01,1,2
4,268435455,2,227.243,3,8
5,268435455,2,248.493,1,2
5,268435455,2,248.797,2,4
5,268435455,2,248.543,0,1
2,536870911,2,462.966,7,128
2,536870911,2,456.159,6,64
2,536870911,2,464.746,10,1024
3,536870911,2,457.638,1,2
3,536870911,2,457.034,6,64
3,536870911,2,457.376,8,256
4,536870911,2,474.362,3,8
4,536870911,2,474.301,5,32
4,536870911,2,474.278,2,4
5,536870911,2,518.883,3,8
5,536870911,2,518.209,8,256
5,536870911,2,518.752,5,32
2,1073741823,32,184.297,15,32768
2,1073741823,32,185.016,11,2048
2,1073741823,32,184.159,13,8192
3,1073741823,32,197.886,15,32768
3,1073741823,32,197.701,14,16384
3,1073741823,32,198.18,13,8192
4,1073741823,32,209.339,15,32768
4,1073741823,32,211.688,13,8192
4,1073741823,32,211.192,11,2048
5,1073741823,32,232.01,8,256
5,1073741823,32,231.972,11,2048
5,1073741823,32,233.103,15,32768
2,134217727,32,22.4776,15,32768
2,134217727,32,22.4224,12,4096
2,134217727,32,22.4002,13,8192
3,134217727,32,23.2893,15,32768
3,134217727,32,23.292,14,16384
3,134217727,32,23.5488,13,8192
4,134217727,32,24.7563,12,4096
4,134217727,32,24.6817,15,32768
4,134217727,32,24.7635,11,2048
5,134217727,32,27.2622,10,1024
5,134217727,32,27.6227,14,16384
5,134217727,32,27.7216,11,2048
2,268435455,32,43.3827,14,16384
2,268435455,32,43.5951,15,32768
2,268435455,32,43.4186,13,8192
3,268435455,32,47.4416,15,32768
3,268435455,32,47.4024,13,8192
3,268435455,32,47.4899,10,1024
4,268435455,32,50.6892,12,4096
4,268435455,32,50.5021,9,512
4,268435455,32,51.0621,10,1024
5,268435455,32,56.1353,13,8192
5,268435455,32,56.173,10,1024
5,268435455,32,55.9332,9,512
2,536870911,32,88.6286,15,32768
2,536870911,32,88.5313,12,4096
2,536870911,32,89.0556,9,512
3,536870911,32,96.5093,11,2048
3,536870911,32,96.5107,13,8192
3,536870911,32,96.9982,15,32768
4,536870911,32,102.617,10,1024
4,536870911,32,102.571,15,32768
4,536870911,32,103.9,14,16384
5,536870911,32,114.764,15,32768
5,536870911,32,115.611,14,16384
5,536870911,32,113.616,9,512
2,1073741823,4,550.598,12,4096
2,1073741823,4,547.218,13,8192
2,1073741823,4,544.83,10,1024
3,1073741823,4,559.853,9,512
3,1073741823,4,558.425,11,2048
3,1073741823,4,560.128,14,16384
4,1073741823,4,564.1,15,32768
4,1073741823,4,563.367,12,4096
4,1073741823,4,563.022,9,512
5,1073741823,4,617.156,15,32768
5,1073741823,4,617.92,12,4096
5,1073741823,4,619.59,13,8192
2,134217727,4,61.5358,7,128
2,134217727,4,61.5241,15,32768
2,134217727,4,61.341,9,512
3,134217727,4,61.5356,14,16384
3,134217727,4,61.5278,15,32768
3,134217727,4,61.4699,13,8192
4,134217727,4,63.6939,13,8192
4,134217727,4,63.603,12,4096
4,134217727,4,63.6748,15,32768
5,134217727,4,70.022,9,512
5,134217727,4,70.0439,12,4096
5,134217727,4,69.542,13,8192
2,268435455,4,123.487,11,2048
2,268435455,4,122.533,10,1024
2,268435455,4,122.078,9,512
3,268435455,4,127.785,11,2048
3,268435455,4,126.949,15,32768
3,268435455,4,127.412,7,128
4,268435455,4,132.035,15,32768
4,268435455,4,132.163,13,8192
4,268435455,4,131.679,14,16384
5,268435455,4,143.822,10,1024
5,268435455,4,143.157,14,16384
5,268435455,4,143.889,12,4096
2,536870911,4,258.848,10,1024
2,536870911,4,258.547,13,8192
2,536870911,4,258.674,15,32768
3,536870911,4,265.296,8,256
3,536870911,4,264.523,15,32768
3,536870911,4,265.032,11,2048
4,536870911,4,272.794,13,8192
4,536870911,4,272.069,12,4096
4,536870911,4,272.964,10,1024
5,536870911,4,298.695,9,512
5,536870911,4,297.482,15,32768
5,536870911,4,298.185,11,2048
2,1073741823,8,335.09,12,4096
2,1073741823,8,334.301,15,32768
2,1073741823,8,333.162,11,2048
3,1073741823,8,340.688,14,16384
3,1073741823,8,341.307,13,8192
3,1073741823,8,341.092,15,32768
4,1073741823,8,352.557,12,4096
4,1073741823,8,355.997,8,256
4,1073741823,8,353.945,10,1024
5,1073741823,8,385.849,12,4096
5,1073741823,8,383.896,9,512
5,1073741823,8,386.623,8,256
2,134217727,8,38.2013,12,4096
2,134217727,8,38.2937,9,512
2,134217727,8,38.0257,15,32768
3,134217727,8,39.0766,10,1024
3,134217727,8,38.8282,13,8192
3,134217727,8,39.0432,12,4096
4,134217727,8,40.4712,14,16384
4,134217727,8,40.529,10,1024
4,134217727,8,40.4174,13,8192
5,134217727,8,43.9422,8,256
5,134217727,8,44.0245,12,4096
5,134217727,8,44.0145,11,2048
2,268435455,8,76.0476,9,512
2,268435455,8,76.4074,12,4096
2,268435455,8,76.3641,10,1024
3,268435455,8,79.4842,13,8192
3,268435455,8,79.3367,15,32768
3,268435455,8,79.8223,12,4096
4,268435455,8,82.8944,14,16384
4,268435455,8,82.6739,13,8192
4,268435455,8,83.2553,15,32768
5,268435455,8,91.0495,14,16384
5,268435455,8,90.1601,13,8192
5,268435455,8,91.0077,9,512
2,536870911,8,158.018,15,32768
2,536870911,8,157.868,13,8192
2,536870911,8,158.661,11,2048
3,536870911,8,163.995,14,16384
3,536870911,8,164.373,9,512
3,536870911,8,164.241,13,8192
4,536870911,8,170.735,14,16384
4,536870911,8,171.027,10,1024
4,536870911,8,171.344,8,256
5,536870911,8,187.984,15,32768
5,536870911,8,188.543,13,8192
5,536870911,8,188.404,11,2048
